"Date","Price","Open","High","Low","Vol.","Change %"
"2026/02/06","120,051.24","117,608.60","120,235.69","117,608.60","227.92M","1.27%"
"2026/02/05","118,539.92","119,293.75","120,813.77","117,759.01","337.94M","-1.88%"
"2026/02/04","120,813.77","121,238.30","121,755.26","120,516.30","270.55M","0.25%"
"2026/02/03","120,516.30","120,289.81","121,091.60","118,902.86","315.79M","1.36%"
"2026/02/02","118,902.86","118,886.04","120,045.73","112,738.82","333.04M","-0.95%"
"2026/01/30","120,045.73","123,858.13","125,249.08","120,045.73","417.52M","-4.15%"
"2026/01/29","125,249.08","126,213.67","126,936.57","125,065.26","289.66M","0.14%"
"2026/01/28","125,069.19","125,321.20","125,473.72","123,419.62","240.92M","1.34%"
"2026/01/27","123,419.62","124,222.66","124,790.82","123,419.62","267.97M","-0.92%"
"2026/01/26","124,563.48","123,482.02","124,563.48","122,281.28","231.04M","1.87%"
"2026/01/23","122,281.28","122,414.22","122,683.24","121,434.26","224.64M","0.64%"
"2026/01/22","121,501.68","120,456.71","122,025.23","120,448.47","300.39M","0.60%"
"2026/01/21","120,780.97","121,222.44","121,657.36","120,534.40","245.80M","0.20%"
"2026/01/20","120,534.40","120,630.92","120,671.12","119,866.06","214.28M","0.35%"
"2026/01/19","120,116.38","120,071.42","120,352.94","119,649.18","168.40M","-0.04%"
"2026/01/16","120,169.74","120,612.11","121,041.80","119,758.17","268.87M","-0.58%"
"2026/01/15","120,870.11","120,620.63","121,602.47","120,509.49","246.09M","0.01%"
"2026/01/14","120,856.82","121,017.08","121,629.82","120,536.33","228.39M","-0.09%"
"2026/01/13","120,964.38","120,028.27","120,964.38","119,805.82","212.34M","0.68%"
"2026/01/12","120,148.14","119,244.32","120,148.14","118,110.22","176.92M","1.73%"
"2026/01/09","118,110.22","117,540.36","118,439.44","116,989.26","170.39M","0.96%"
"2026/01/08","116,989.26","117,514.37","118,035.06","116,874.76","181.00M","-0.79%"
"2026/01/07","117,922.55","118,256.56","118,722.83","117,796.72","452.78M","-0.67%"
"2026/01/06","118,722.83","116,395.41","119,052.92","116,395.41","224.43M","1.84%"
"2026/01/05","116,582.66","116,654.50","116,715.35","115,733.20","140.07M","0.42%"
"2026/01/02","116,091.98","116,684.88","116,925.71","115,748.57","97.58M","0.22%"
