"Date","Price","Open","High","Low","Change %"
"2025/12/31","8.210","8.205","8.225","8.190","-0.18%"
"2025/12/30","8.225","8.300","8.310","8.220","-0.96%"
"2025/12/29","8.305","8.340","8.345","8.290","-0.42%"
"2025/12/24","8.340","8.415","8.415","8.340","-0.71%"
"2025/12/23","8.400","8.440","8.450","8.400","-0.53%"
"2025/12/22","8.445","8.420","8.445","8.415","0.30%"
"2025/12/19","8.420","8.395","8.430","8.380","0.18%"
"2025/12/18","8.405","8.370","8.410","8.370","0.36%"
"2025/12/17","8.375","8.375","8.385","8.360","-0.12%"
"2025/12/15","8.385","8.415","8.425","8.365","-0.12%"
"2025/12/12","8.395","8.420","8.435","8.375","-0.30%"
"2025/12/11","8.420","8.460","8.515","8.420","-1.12%"
"2025/12/10","8.515","8.480","8.520","8.410","0.35%"
"2025/12/09","8.485","8.445","8.525","8.430","0.30%"
"2025/12/08","8.460","8.352","8.465","8.300","1.74%"
"2025/12/05","8.315","8.320","8.335","8.275","-0.12%"
"2025/12/04","8.325","8.350","8.350","8.275","-0.48%"
"2025/12/03","8.365","8.447","8.465","8.295","-1.12%"
"2025/12/02","8.460","8.495","8.505","8.445","-0.53%"
"2025/12/01","8.505","8.510","8.540","8.485","0.12%"
"2025/11/28","8.495","8.573","8.575","8.485","-0.93%"
"2025/11/27","8.575","8.590","8.610","8.565","-0.06%"
"2025/11/26","8.580","8.630","8.630","8.570","-0.35%"
"2025/11/25","8.610","8.630","8.645","8.605","-0.29%"
"2025/11/24","8.635","8.640","8.645","8.620","-0.29%"
"2025/11/21","8.660","8.593","8.685","8.590","0.70%"
"2025/11/20","8.600","8.678","8.705","8.590","-0.75%"
"2025/11/19","8.665","8.653","8.680","8.645","-0.12%"
"2025/11/18","8.675","8.613","8.685","8.610","0.64%"
"2025/11/17","8.620","8.640","8.660","8.575","-0.40%"
"2025/11/14","8.655","8.603","8.680","8.603","0.58%"
"2025/11/13","8.605","8.655","8.680","8.585","-0.64%"
"2025/11/12","8.660","8.805","8.835","8.660","-1.70%"
"2025/11/11","8.810","8.735","8.833","8.725","0.69%"
"2025/11/10","8.750","8.830","8.830","8.745","-0.85%"
"2025/11/07","8.825","8.790","8.825","8.770","0.68%"
"2025/11/06","8.765","8.765","8.790","8.750","-0.23%"
"2025/11/05","8.785","8.840","8.845","8.775","-0.57%"
"2025/11/04","8.835","8.835","8.865","8.830","-0.11%"
"2025/11/03","8.845","8.860","8.895","8.835","-0.23%"
"2025/10/31","8.865","8.870","8.890","8.865","0.06%"
"2025/10/30","8.860","8.890","8.900","8.860","0.17%"
"2025/10/29","8.845","8.880","8.880","8.820","-0.45%"
"2025/10/28","8.885","8.880","8.890","8.860","0.00%"
"2025/10/27","8.885","8.880","8.920","8.855","0.00%"
"2025/10/24","8.885","8.945","8.970","8.885","-0.56%"
"2025/10/23","8.935","8.950","8.985","8.925","-0.11%"
"2025/10/22","8.945","8.905","8.955","8.885","0.39%"
"2025/10/21","8.910","8.910","8.920","8.855","-0.17%"
"2025/10/20","8.925","9.020","9.025","8.915","-1.16%"
"2025/10/17","9.030","8.980","9.070","8.955","0.06%"
"2025/10/16","9.025","9.025","9.040","8.985","-0.22%"
"2025/10/15","9.045","9.140","9.140","9.045","-1.04%"
"2025/10/14","9.140","9.118","9.175","9.118","0.27%"
"2025/10/13","9.115","9.105","9.150","9.090","-0.27%"
"2025/10/10","9.140","9.060","9.140","9.045","0.94%"
"2025/10/09","9.055","9.090","9.100","9.005","-0.39%"
